d52,,s12,,p12,,p32,
X,Y,X,Y,X,Y,X,Y
-0.017391304347825987,1.6916299559470966,0.7826086956521738,0.17180616740087684,3.1082930756843803,0.7088432044379009,4.847199856861695,0.3034248608618326
,,,,5.1010466988727865,0.13778756730298225,5.266550366791916,0.14231975489929072
,,,,7.194444444444444,0.14798498939467697,9.928330202182863,0.11222319664255176
,,,,9.91183574879227,0.5609805841083237,10.927782250849887,0.3282102617791467
,,,,13.373993558776167,0.11484336759666824,11.801429146537846,0.20959441453200034
,,,,,,12.283682232957599,0.2520836732473959
,,,,,,13.37399355877617,0.49639691086092186
,,,,,,15.512681159420293,0.4007960787512812
,,,,,,15.511128009383519,0.2976219296946834
